task,head,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,80m,all,test,80.0,,1862,12071,0.7061552481153177,0.6516299786740299,0.6303778215855805,0.8689124133976168,0.7137486573576799,0.6691454660568046,0.6556756612982433,0.8837726132794724,0.6954887218045113,0.6643765975551749,0.6422211239573271,0.8837726132794724,,,,
age_class,lstm,120m,1,test,120.0,120.0,1862,1862,0.7261009667024705,0.6546673436816779,0.6487426156624417,0.8679857628280702,0.7261009667024705,0.6546673436816779,0.6487426156624417,0.8679857628280702,0.7261009667024705,0.6546673436816779,0.6487426156624417,0.8679857628280702,,,,
age_class,lstm,120m,2,test,120.0,240.0,1862,3721,0.7248051599032518,0.6549086885136416,0.647759307075925,0.8675421336149092,0.7443609022556391,0.6739602827004011,0.6666789159682799,0.8848192769042854,0.706766917293233,0.6970209007810909,0.6527815122976247,0.8848192769042854,,,,
age_class,lstm,120m,3,test,120.0,360.0,1862,5570,0.7263913824057451,0.6508737030116877,0.6444292216725778,0.8698267683472193,0.7551020408163265,0.6855254300334611,0.6793346590875761,0.8910533621850165,0.7454350161117078,0.6696832650557659,0.6637800653266043,0.8910533621850165,,,,
age_class,lstm,120m,4,test,120.0,480.0,1862,7156,0.7273616545556176,0.6467511659755535,0.6393142124300976,0.8709832649102619,0.7465091299677766,0.6712286999501291,0.6652491868837852,0.8923262617967357,0.7416756176154672,0.6814904287962903,0.6680472588078105,0.8923262617967357,,,,
age_class,lstm,120m,5,test,120.0,600.0,1862,7708,0.7374156720290607,0.6497035169965312,0.6416278404159529,0.8769615473102425,0.7481203007518797,0.6732930059521359,0.6676352772401813,0.8928199818543403,0.7454350161117078,0.6841712628524497,0.6721003679191485,0.8928199818543403,,,,
age_class,lstm,120m,6,test,120.0,720.0,1862,7824,0.74079754601227,0.6510359646134831,0.6428823568466988,0.8790696723560988,0.7481203007518797,0.6732930059521359,0.6676352772401813,0.8928585173353443,0.7459720730397422,0.6859633775477901,0.6735469453425033,0.8928585173353443,,,,
age_class,lstm,120m,8,test,120.0,960.0,1862,7835,0.7411614550095724,0.6511701205264847,0.6429967451723578,0.8792640215812199,0.7481203007518797,0.6732930059521359,0.6676352772401813,0.8928515103192479,0.7459720730397422,0.6859633775477901,0.6735469453425033,0.8928515103192479,,,,
age_class,lstm,120m,all,test,120.0,,1862,7835,0.7411614550095724,0.6511701205264847,0.6429967451723578,0.8792640215812199,0.7481203007518797,0.6732930059521359,0.6676352772401813,0.8928515103192479,0.7459720730397422,0.6859633775477901,0.6735469453425033,0.8928515103192479,,,,
age_class,lstm,240m,1,test,240.0,240.0,1862,1862,0.7352309344790547,0.6530309726138102,0.6494230120520044,0.8718506396667444,0.7352309344790547,0.6530309726138102,0.6494230120520044,0.8718506396667444,0.7352309344790547,0.6530309726138102,0.6494230120520044,0.8718506396667444,,,,
