task,held_out_context,K,actual,predicted,error
sleep_efficiency_binary,10m,2,0.6618224138247027,0.7282688675092265,0.06644645368452373
sleep_efficiency_binary,10m,20,0.7084742690856367,0.7588474515511804,0.050373182465543676
sleep_efficiency_binary,10m,25,0.7091142073420316,0.7592153182434295,0.050101110901397905
sleep_efficiency_binary,10m,3,0.6868690982623411,0.7417985236059137,0.05492942534357259
sleep_efficiency_binary,10m,30,0.7095800335191208,0.759443349312012,0.04986331579289116
sleep_efficiency_binary,10m,4,0.6930648409674522,0.7477609598998718,0.054696118932419546
sleep_efficiency_binary,10m,40,0.7106878343511933,0.7597059577930614,0.04901812344186807
sleep_efficiency_binary,10m,5,0.70118701673716,0.751023637622376,0.04983662088521601
sleep_efficiency_binary,10m,50,0.7107509627074328,0.7598496585889472,0.04909869588151439
sleep_efficiency_binary,10m,6,0.699512078898227,0.7530460873390226,0.05353400844079559
sleep_efficiency_binary,10m,60,0.7107031073406059,0.7599387350036714,0.04923562766306544
sleep_efficiency_binary,10m,8,0.7017989545129648,0.7553752105211781,0.05357625600821325
sleep_efficiency_binary,10m,80,0.7105055766775342,0.7600413184898316,0.04953574181229736
sleep_efficiency_binary,40m,1,0.658999965381224,0.7022334994444013,0.043233534063177315
sleep_efficiency_binary,40m,10,0.7608361859883558,0.7655188293771352,0.004682643388779439
sleep_efficiency_binary,40m,12,0.7593852519941433,0.7657082350938397,0.0063229830996963665
sleep_efficiency_binary,40m,16,0.7597222759605183,0.7658958788492762,0.006173602888757901
sleep_efficiency_binary,40m,2,0.693604995693017,0.7503364682369292,0.0567314725439122
sleep_efficiency_binary,40m,20,0.75976402213158,0.7659823673752246,0.0062183452436446185
sleep_efficiency_binary,40m,25,0.7598118774984065,0.7660375216937031,0.006225644195296587
sleep_efficiency_binary,40m,3,0.7274158305553463,0.759158858580815,0.03174302802546869
sleep_efficiency_binary,40m,30,0.7598312232849961,0.766067383191525,0.006236159906528926
sleep_efficiency_binary,40m,4,0.7394916741843715,0.7622288641331095,0.02273718994873808
sleep_efficiency_binary,40m,5,0.74591549353138,0.7636438872669917,0.017728393735611747
sleep_efficiency_binary,40m,6,0.7535275514547014,0.7644100051594078,0.010882453704706418
sleep_efficiency_binary,40m,8,0.7577999156930985,0.7651689961811227,0.0073690804880242045
sleep_efficiency_binary,80m,1,0.6895897665261577,0.7065030289331758,0.01691326240701818
sleep_efficiency_binary,80m,10,0.7954030242133124,0.7687638339023367,-0.026639190310975724
sleep_efficiency_binary,80m,12,0.795453060157501,0.7690119445488565,-0.026441115608644483
